Monthly Average Steers and Heifers Farm Price Received in US for the 1960 - 2017 Calendar Years,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,Annual,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average*,
,,,,,$ per,cwt,,,,,,,,
1960,20.50,20.90,21.80,21.80,21.70,20.80,20.30,19.60,19.40,19.00,19.20,20.20,20.43,
1961,20.90,20.70,20.80,20.50,19.70,19.40,19.20,20.10,20.20,20.00,20.10,20.50,20.18,
1962,20.80,21.00,21.10,21.30,21.30,20.90,21.00,21.60,22.00,21.70,21.50,21.50,21.31,
1963,21.70,20.40,19.70,20.50,19.70,19.70,20.70,20.40,20.10,19.60,18.60,17.60,19.89,
1964,18.70,18.30,18.80,18.20,17.60,17.50,18.10,18.20,18.60,17.80,17.50,17.40,18.06,
1965,18.00,18.20,18.60,19.20,20.50,21.30,21.00,20.60,20.60,20.10,19.70,20.30,19.84,
1966,21.10,22.40,23.80,23.60,23.00,22.50,21.90,22.40,22.50,21.90,20.90,21.00,22.25,
1967,21.80,21.70,21.50,21.80,22.30,23.00,23.20,23.30,23.00,22.30,21.40,21.70,22.25,
1968,21.90,22.90,23.40,23.60,23.70,23.80,24.00,23.90,23.60,23.00,23.00,23.50,23.36,
1969,23.80,24.30,25.40,26.70,28.60,29.40,27.90,26.90,26.10,25.40,24.90,25.60,26.25,
1970,26.40,27.40,29.00,28.70,27.90,28.10,28.10,27.10,26.80,26.50,25.10,24.40,27.13,
1971,26.10,28.90,28.80,29.10,29.50,28.90,28.50,29.30,29.20,29.30,29.90,30.30,28.98,
1972,31.80,32.90,32.50,32.20,33.30,34.50,34.60,33.60,34.00,34.40,33.00,34.80,33.47,
1973,37.90,40.70,43.80,42.80,43.60,43.90,44.60,51.70,46.70,42.70,39.60,37.70,42.98,
1974,44.20,43.60,40.70,39.20,37.30,32.60,35.30,37.00,32.60,30.60,28.20,27.70,35.75,
1975,27.40,26.80,27.80,31.60,35.30,36.80,35.20,32.30,34.00,33.40,32.30,33.50,32.20,
1976,32.80,33.90,33.40,38.00,37.10,36.40,33.60,33.00,32.30,32.20,31.20,32.40,33.86,
1977,32.20,33.20,33.80,35.30,36.30,34.00,34.90,34.50,34.70,35.10,34.30,35.50,34.48,
1978,37.70,40.50,44.00,47.20,50.50,51.10,50.10,49.30,52.20,53.20,51.90,54.60,48.53,
1979,60.20,64.70,70.60,73.40,71.90,66.80,65.50,62.20,66.80,64.60,63.90,64.40,66.25,
1980,63.80,67.00,64.40,60.60,60.70,61.10,63.20,64.40,63.00,62.10,60.00,59.40,62.48,
1981,60.40,59.40,58.20,61.00,60.50,61.40,60.50,59.70,58.80,55.70,54.50,52.00,58.51,
1982,53.50,56.30,58.60,60.10,62.60,61.10,58.80,58.10,55.60,53.80,52.60,52.50,56.97,
1983,54.30,57.10,59.70,61.00,59.90,58.30,55.80,54.20,52.30,51.70,51.20,54.50,55.83,
1984,57.20,59.70,61.70,60.10,58.60,57.60,57.60,56.60,55.70,54.10,54.80,57.00,57.56,
1985,57.40,58.50,57.30,56.20,55.30,53.60,50.20,49.40,49.10,52.10,54.70,53.70,53.96,
1986,53.20,53.00,52.40,50.30,51.00,50.10,52.90,54.40,54.60,54.40,54.60,53.20,52.84,
1987,56.40,58.80,59.30,62.60,63.00,62.50,61.10,61.90,63.70,62.90,62.00,62.20,61.37,
1988,65.40,67.40,68.30,69.00,69.30,65.00,63.20,65.90,67.20,67.00,66.70,67.20,66.80,
1989,70.60,71.60,72.00,70.10,68.80,67.60,68.00,69.70,68.20,68.70,69.80,71.00,69.68,
1990,73.60,74.60,74.30,74.70,74.60,74.20,73.60,76.00,75.00,75.50,75.30,76.10,74.79,
1991,76.60,77.00,78.50,78.00,75.90,73.60,71.60,68.80,68.70,70.40,67.90,67.40,72.87,
1992,68.90,72.50,72.80,72.60,71.90,70.20,70.60,71.80,71.80,71.80,70.20,70.80,71.33,
1993,74.20,75.10,77.30,77.40,76.90,74.70,72.60,72.60,71.40,69.10,69.30,68.50,73.26,
1994,73.10,73.10,75.40,75.40,69.70,64.70,65.00,68.30,66.10,66.10,68.40,68.00,69.44,
1995,71.50,72.10,70.20,67.10,63.60,63.30,61.90,61.70,62.00,62.30,65.20,64.70,65.47,
1996,62.60,61.10,60.20,58.10,57.60,59.60,62.10,64.30,67.90,68.10,68.70,65.50,62.98,
1997,65.20,65.20,67.90,67.90,68.30,64.90,65.40,66.60,67.00,67.30,68.00,66.80,66.71,
1998,66.10,63.30,64.30,66.30,66.30,64.50,61.00,59.70,58.90,61.40,62.30,60.30,62.87,
1999,62.20,63.60,65.50,66.00,65.20,66.70,65.20,66.20,67.10,70.10,70.90,70.80,66.63,
2000,71.60,71.20,73.40,75.20,73.20,71.50,68.00,68.60,70.50,70.50,73.80,76.80,72.03,
2001,79.30,78.00,80.50,79.60,77.40,76.80,75.00,73.60,72.10,70.20,67.80,70.50,75.07,
2002,71.20,73.50,74.10,70.60,68.10,66.90,66.50,67.30,67.80,68.60,71.90,75.00,70.13,
2003,77.80,78.10,76.70,78.80,79.50,78.70,78.80,83.50,89.40,97.80,100.00,95.70,84.57,
2004,85.40,82.30,88.00,88.90,92.60,93.80,91.40,91.00,89.50,91.10,90.20,91.80,89.67,
2005,94.40,93.30,95.50,98.30,96.40,91.90,88.40,97.80,92.30,96.60,97.30,99.90,95.18,
2006,102.00,97.80,93.00,89.30,86.50,88.50,90.40,91.90,95.80,94.00,90.20,89.30,92.39,
2007,89.80,91.50,97.70,99.90,98.10,93.30,93.10,95.80,98.10,96.40,95.90,95.10,95.39,
2008,93.40,94.20,92.70,91.60,95.90,96.40,99.60,100.00,99.30,93.00,91.00,85.60,94.39,
2009,85.80,83.80,84.00,88.40,87.80,85.00,85.30,85.10,85.50,84.40,85.40,83.80,85.36,
2010,87.50,90.50,95.60,101.00,99.70,94.80,95.90,98.00,99.30,98.80,101.00,104.00,97.18,
2011,110.00,111.00,118.00,122.00,115.00,110.00,115.00,114.00,117.00,122.00,126.00,126.00,117.17,
2012,130.00,131.00,132.00,128.00,125.00,124.00,117.00,120.00,125.00,127.00,128.00,128.00,126.25,
2013,130.00,125.00,127.00,127.00,127.00,124.00,121.00,122.00,124.00,128.00,132.00,132.00,126.58,
2014,140.00,145.00,150.00,150.00,147.00,148.00,157.00,159.00,158.00,163.00,169.00,166.00,154.33,
2015,166.00,161.00,162.00,164.00,161.00,156.00,150.00,149.00,140.00,129.00,131.00,123.00,149.33,
2016,132.00,134.00,137.00,133.00,129.00,127.00,120.00,118.00,109.00,102.00,106.00,113.00,121.67,
2017,119.00,121.00,127.00,130.00,138.00,133.00,120.00,115.00,107.00,111.00,119.00,120.00,121.67,
2018,123.00,127.00,127.00,,,,,,,,,,,
*The average in the above table is the calendar year average.,,,,,,,,,,,,,,