Monthly Average Barrows and Gilts Farm Price Received in US for the 1960 - 2017 Calendar Years,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,Annual,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average*,
,,,,,$ per,cwt,,,,,,,,
1960,12.10,13.00,15.00,15.50,15.40,16.00,16.60,16.30,15.70,16.70,16.60,16.50,15.45,
1961,16.70,17.60,17.10,16.80,16.10,15.80,16.60,17.30,17.50,16.60,15.70,16.10,16.66,
1962,16.50,16.30,15.90,15.50,15.20,15.90,17.00,17.50,18.10,16.60,16.20,15.70,16.37,
1963,15.40,14.80,13.80,13.50,14.40,16.10,17.10,16.70,15.50,15.20,14.20,13.60,15.03,
1964,14.30,14.30,14.20,14.00,14.30,14.90,16.00,15.80,16.20,15.10,14.00,14.80,14.83,
1965,15.50,16.40,16.40,16.90,19.70,22.40,23.20,23.70,22.10,22.90,23.50,26.90,20.80,
1966,27.30,27.20,24.00,22.10,22.30,23.20,23.20,24.50,22.30,21.20,19.30,18.90,22.96,
1967,19.00,18.90,17.90,17.00,21.50,21.10,21.50,20.40,19.10,18.00,17.10,16.70,19.02,
1968,17.60,18.90,18.60,18.50,18.30,19.40,20.80,19.20,19.50,17.90,17.50,17.80,18.67,
1969,18.70,19.60,20.00,19.70,22.30,24.00,24.90,25.90,24.90,24.80,25.00,25.80,22.97,
1970,26.40,27.50,25.60,23.80,23.00,23.20,23.80,21.60,19.70,17.90,15.40,15.10,21.92,
1971,15.30,19.10,16.90,15.90,17.00,17.50,19.00,18.50,17.90,19.50,18.80,19.70,17.93,
1972,22.80,25.60,23.30,22.50,24.90,25.60,27.50,28.00,28.10,27.40,26.80,29.60,26.01,
1973,31.00,34.30,38.20,35.10,35.30,37.30,41.30,56.30,43.80,40.90,40.50,38.20,39.35,
1974,40.10,39.30,35.00,30.60,26.30,24.20,34.30,36.00,33.70,37.10,36.80,38.40,34.32,
1975,38.20,38.50,38.60,39.30,45.10,47.40,53.90,56.10,58.60,58.30,49.10,47.60,47.56,
1976,47.70,48.00,45.60,47.00,47.60,49.20,47.60,42.60,39.70,32.90,31.20,36.60,42.98,
1977,38.10,39.40,37.20,36.00,40.70,42.00,44.80,42.80,40.30,39.90,37.80,41.80,40.07,
1978,43.90,47.40,46.40,45.00,47.90,47.60,45.40,47.40,48.00,50.80,47.30,48.00,47.09,
1979,50.70,52.60,48.30,44.10,43.20,39.60,37.90,36.20,37.20,33.80,34.50,36.90,41.25,
1980,36.20,36.70,33.40,28.00,28.60,33.10,41.20,46.20,46.10,47.20,45.60,43.80,38.84,
1981,40.90,41.30,38.80,39.00,40.90,47.40,49.30,49.20,48.60,45.00,41.50,39.00,43.41,
1982,43.40,48.30,48.60,51.20,56.70,57.50,57.80,61.20,61.30,55.80,52.50,53.60,53.99,
1983,55.30,56.10,50.40,46.90,45.90,43.90,43.40,46.70,44.10,40.40,37.50,44.20,46.23,
1984,48.40,45.40,45.80,47.50,47.20,49.00,52.00,50.50,46.30,43.60,47.00,48.60,47.61,
1985,48.00,48.30,43.60,41.20,41.40,44.60,45.70,42.50,39.70,43.10,43.20,45.30,43.88,
1986,44.30,42.80,40.40,39.70,45.80,52.60,59.00,62.10,58.30,53.10,52.80,50.60,50.13,
1987,47.20,48.20,47.40,50.80,54.40,59.20,59.60,58.60,54.30,48.90,40.60,40.30,50.79,
1988,43.00,45.80,42.20,41.90,46.30,47.10,44.10,44.70,40.70,38.70,36.20,39.70,42.53,
1989,40.90,40.40,39.30,36.90,41.60,45.10,45.90,45.60,43.40,46.60,45.00,48.20,43.24,
1990,47.30,48.20,51.30,53.80,61.20,60.30,60.80,55.90,54.30,56.80,50.20,47.80,53.99,
1991,50.00,52.20,51.50,50.90,54.10,54.70,54.20,51.20,46.40,43.60,38.00,38.60,48.78,
1992,36.80,40.20,39.10,41.00,45.10,46.70,44.60,44.10,42.10,42.00,41.10,41.80,42.05,
1993,41.40,44.20,46.80,45.50,46.80,49.00,45.90,47.50,47.80,47.00,42.80,40.60,45.44,
1994,44.40,48.10,44.80,43.00,43.10,43.40,43.20,42.80,36.00,32.30,28.60,31.60,40.11,
1995,37.70,39.80,38.20,36.00,37.50,43.20,47.40,49.60,49.10,46.10,40.40,44.30,42.44,
1996,43.00,47.30,49.50,50.60,57.70,57.10,59.40,60.30,55.10,56.00,54.60,56.10,53.89,
1997,54.10,53.00,49.60,54.40,58.80,58.40,59.70,55.90,50.90,47.80,45.60,42.00,52.52,
1998,36.50,36.30,35.30,36.00,43.10,43.20,37.60,35.90,30.10,28.20,19.00,14.80,33.00,
1999,26.70,28.10,28.10,30.60,36.80,34.50,31.90,36.90,34.20,34.70,33.80,36.00,32.69,
2000,37.00,40.10,42.00,47.90,48.80,49.60,49.10,44.30,42.10,41.80,37.20,40.30,43.35,
2001,37.60,29.50,46.60,48.30,51.10,52.90,52.30,51.30,45.70,40.90,35.30,33.80,43.78,
2002,38.30,39.00,36.30,32.00,33.60,36.60,40.20,32.60,27.10,31.99,28.10,30.70,33.87,
2003,33.50,34.90,35.20,35.30,41.90,45.80,43.20,39.90,40.10,37.10,35.00,34.60,38.04,
2004,37.20,43.00,47.60,47.70,57.30,57.20,57.60,55.80,55.40,52.70,56.10,52.60,51.68,
2005,53.50,51.00,51.50,51.50,55.40,49.90,50.30,51.60,49.90,47.30,43.90,44.50,50.03,
2006,41.10,43.20,43.20,41.80,48.90,54.70,51.10,52.50,49.50,47.00,45.20,44.00,46.85,
2007,43.40,48.10,45.50,48.10,53.90,55.10,53.00,52.30,47.00,42.80,38.70,40.40,47.36,
2008,38.10,43.20,41.00,45.30,56.60,54.50,56.00,61.60,52.80,48.70,41.00,41.90,48.39,
2009,42.80,43.90,43.90,44.20,44.60,43.80,43.90,37.70,38.30,38.30,40.30,45.50,42.27,
2010,48.90,48.80,52.30,56.60,62.40,58.50,58.70,61.50,61.30,53.50,48.00,52.70,55.27,
2011,56.70,62.60,63.70,68.30,69.20,70.40,72.40,76.10,67.20,69.00,64.50,63.70,66.98,
2012,63.70,65.80,65.50,63.10,63.20,71.00,73.10,68.00,56.30,62.70,61.20,62.70,64.69,
2013,64.40,65.10,59.10,61.90,69.10,75.00,76.00,74.10,70.60,68.40,63.30,61.30,67.36,
2014,61.10,65.60,82.00,88.40,82.60,85.00,93.60,82.90,76.00,77.40,66.40,64.20,77.10,
2015,57.70,50.80,50.70,49.40,60.00,60.80,59.50,59.30,54.90,55.40,45.80,43.30,53.97,
2016,44.00,49.80,50.50,51.40,57.50,61.00,60.10,52.60,47.90,42.00,39.30,43.60,49.98,
2017,48.70,55.30,53.70,48.70,53.80,62.70,67.40,61.20,49.00,47.60,50.20,48.80,53.93,
2018,52.90,54.60,50.00,,,,,,,,,,,
*The average in the above table is the calendar year average.,,,,,,,,,,,,,,